Adults,Infants,Preschoolers,School-Age,Teenager,Housing,Child Care,Food,Transportation,Health Care,Miscellaneous,Taxes,Earned Income Tax Credit,Child Care Tax Credit,Child Tax Credit,Hourly,Monthly,Annual,Monthly Savings Contribution
3,1,0,5,0,1455.83,3836.69,2198.01,445.35,649.58,858.55,2746.7,0,-100,-500,32.93,11590.7,139088.37,227.47
3,1,0,4,1,1455.83,3220.38,2217.94,445.35,664.96,800.45,2342.58,0,-100,-500,29.96,10547.48,126569.77,205
3,1,0,3,2,1455.83,2604.07,2237.88,445.35,680.34,742.35,2066.47,0,-100,-500,27.36,9632.28,115587.32,182.53
3,1,0,2,3,1455.83,1987.76,2257.81,445.35,695.72,684.25,1808.06,0,-100,-500,24.81,8734.76,104817.12,137.7
3,1,0,1,4,1455.83,1371.45,2277.74,445.35,711.1,626.15,1479.81,0,-100,-500,22.07,7767.41,93208.94,118.36
3,1,0,0,5,1455.83,755.14,2297.67,445.35,726.48,568.05,1221.39,0,-100,-500,19.52,6869.9,82438.74,99.03
3,0,6,0,0,1455.83,4314.96,1919.02,445.35,599.55,873.47,2841.62,0,-100,-500,33.66,11849.8,142197.6,233.06
3,0,5,1,0,1455.83,4212.11,1976.09,445.35,608.94,869.83,2818.12,0,-100,-500,33.48,11786.25,141435.04,231.69
3,0,5,0,1,1455.83,3595.8,1996.02,445.35,624.32,811.73,2414,0,-100,-500,30.52,10743.04,128916.44,209.21
3,0,4,2,0,1455.83,4109.26,2033.16,445.35,618.32,866.19,2794.61,0,-100,-500,33.3,11722.71,140672.49,230.32
3,0,4,1,1,1455.83,3492.95,2053.09,445.35,633.7,808.09,2390.49,0,-100,-500,30.34,10679.49,128153.89,207.84
3,0,4,0,2,1455.83,2876.64,2073.02,445.35,649.08,749.99,2095.95,0,-100,-500,27.69,9745.85,116950.19,185.37
3,0,3,3,0,1455.83,4006.41,2090.22,445.35,627.7,862.55,2771.1,0,-100,-500,33.12,11659.16,139909.94,228.95
3,0,3,2,1,1455.83,3390.1,2110.16,445.35,643.08,804.45,2366.98,0,-100,-500,30.16,10615.94,127391.33,206.48
3,0,3,1,2,1455.83,2773.79,2130.09,445.35,658.46,746.35,2081.32,0,-100,-500,27.53,9691.18,116294.14,184
3,0,3,0,3,1455.83,2157.48,2150.02,445.35,673.84,688.25,1822.9,0,-100,-500,24.98,8793.66,105523.94,138.97
3,0,2,4,0,1455.83,3903.56,2147.29,445.35,637.08,858.91,2747.6,0,-100,-500,32.94,11595.62,139147.38,227.58
3,0,2,3,1,1455.83,3287.25,2167.22,445.35,652.46,800.81,2343.48,0,-100,-500,29.98,10552.4,126628.78,205.11
3,0,2,2,2,1455.83,2670.94,2187.15,445.35,667.84,742.71,2066.69,0,-100,-500,27.38,9636.51,115638.08,182.63
3,0,2,1,3,1455.83,2054.63,2207.09,445.35,683.22,684.61,1808.27,0,-100,-500,24.83,8738.99,104867.89,137.79
3,0,2,0,4,1455.83,1438.32,2227.02,445.35,698.6,626.51,1480.02,0,-100,-500,22.08,7771.64,93259.71,118.45
3,0,1,5,0,1455.83,3800.71,2204.36,445.35,646.46,855.27,2724.09,0,-100,-500,32.76,11532.07,138384.83,226.21
3,0,1,4,1,1455.83,3184.4,2224.29,445.35,661.85,797.17,2319.97,0,-100,-500,29.8,10488.85,125866.22,203.74
3,0,1,3,2,1455.83,2568.09,2244.22,445.35,677.23,739.07,2052.05,0,-100,-500,27.22,9581.84,114982.03,181.1
3,0,1,2,3,1455.83,1951.78,2264.15,445.35,692.61,680.97,1793.64,0,-100,-500,24.67,8684.32,104211.84,136.61
3,0,1,1,4,1455.83,1335.47,2284.08,445.35,707.99,622.87,1465.39,0,-100,-500,21.92,7716.97,92603.66,117.28
3,0,1,0,5,1455.83,719.16,2304.01,445.35,723.37,564.77,1206.97,0,-100,-500,19.37,6819.46,81833.46,97.94
3,0,0,6,0,1455.83,3697.86,2261.43,445.35,655.85,851.63,2700.58,0,-100,-500,32.58,11468.52,137622.27,224.84
3,0,0,5,1,1455.83,3081.55,2281.36,445.35,671.23,793.53,2296.47,0,-100,-500,29.62,10425.31,125103.67,202.37
3,0,0,4,2,1455.83,2465.24,2301.29,445.35,686.61,735.43,2037.42,0,-100,-500,27.07,9527.17,114325.98,170.87
3,0,0,3,3,1455.83,1848.93,2321.22,445.35,701.99,677.33,1779.01,0,-100,-500,24.52,8629.65,103555.79,135.43
3,0,0,2,4,1455.83,1232.62,2341.15,445.35,717.37,619.23,1450.76,0,-100,-500,21.77,7662.3,91947.6,116.1
3,0,0,1,5,1455.83,616.31,2361.08,445.35,732.75,561.13,1192.34,0,-100,-500,19.22,6764.78,81177.41,96.76
3,0,0,0,6,1455.83,0,2381.01,438.87,748.13,502.38,970.7,0,0,-500,17.04,5996.92,71963.05,78.26
